resume_id,jd_id,resume_category,graph_score,coverage,exact_matches,partial_matches,no_matches,sbert_score,structural_score,yoe_score,edu_score,section_score,resume_yoe,required_yoe,resume_edu_rank,required_edu_rank,label
friend_abdul_ahad,android_developer,general,0.44,0.5,3,2,5,0.2421,0.68,0.5,0.6,1.0,0,1,3,4,-1
friend_abdul_ahad,backend_swe_fullstack,general,0.5077,0.5769,11,4,11,0.4097,0.8,0.5,1.0,1.0,0,1,3,3,1
friend_abdul_ahad,data_scientist,general,0.5714,0.7143,6,2,4,0.2484,0.88,1.0,0.6,1.0,0,0,3,4,-1
friend_abdul_ahad,flutter_developer_fresher,general,0.125,0.1667,1,1,10,0.3225,0.88,1.0,0.6,1.0,0,0,3,4,-1
friend_abdul_ahad,frontend_developer_fresher,general,0.6545,0.8182,5,4,2,0.54,1.0,1.0,1.0,1.0,0,0,3,3,1
friend_abdul_ahad,fullstack_developer_fresher,general,0.4458,0.5417,8,5,11,0.5104,1.0,1.0,1.0,1.0,0,0,3,3,1
friend_abdul_ahad,fullstack_developer_general,general,0.5062,0.625,12,7,12,0.2934,0.88,1.0,0.6,1.0,0,0,3,4,-1
friend_abdul_ahad,golang_backend_developer,general,0.5143,0.6429,5,3,5,0.353,1.0,1.0,1.0,1.0,0,0,3,3,-1
friend_abdul_ahad,google_ml_engineer,general,0.47,0.55,7,4,9,0.2549,0.8,0.5,1.0,1.0,0,1,3,3,-1
friend_abdul_ahad,google_swe_early_career,general,0.49,0.6,3,3,4,0.3176,0.8,0.5,1.0,1.0,0,1,3,3,-1
friend_abdul_ahad,google_swe_generalist,general,0.7733,0.8667,9,4,2,0.3528,0.8,0.5,1.0,1.0,0,1,3,3,-1
friend_abdul_ahad,java_backend_developer,general,0.405,0.6,5,4,8,0.3401,1.0,1.0,1.0,1.0,0,0,3,3,-1
friend_abdul_ahad,junior_ml_engineer,general,0.495,0.6,7,5,8,0.2655,0.68,0.5,0.6,1.0,0,3,3,4,-1
friend_abdul_ahad,laravel_developer,general,0.4111,0.5,5,4,9,0.2432,0.88,1.0,0.6,1.0,0,0,3,4,-1
friend_abdul_ahad,mern_stack_developer,general,0.3955,0.4545,7,3,12,0.4402,0.88,1.0,0.6,1.0,0,0,3,4,-1
friend_abdul_ahad,php_fullstack_developer,general,0.2857,0.381,4,3,13,0.4525,0.88,1.0,0.6,1.0,0,0,3,4,-1
friend_abdul_ahad,software_engineer_general,general,0.3773,0.5,6,3,11,0.3203,1.0,1.0,1.0,1.0,0,0,3,3,-1
friend_abhinandan_,android_developer,general,0.4,0.4,4,0,6,0.1196,0.68,0.5,0.6,1.0,0,1,3,4,-1
friend_abhinandan_,backend_swe_fullstack,general,0.5923,0.7308,11,7,7,0.4145,0.8,0.5,1.0,1.0,0,1,3,3,1
friend_abhinandan_,data_scientist,general,0.2286,0.2857,2,2,10,0.072,0.88,1.0,0.6,1.0,0,0,3,4,0
friend_abhinandan_,flutter_developer_fresher,general,0.2833,0.3333,2,2,8,0.165,0.88,1.0,0.6,1.0,0,0,3,4,0
friend_abhinandan_,frontend_developer_fresher,general,0.6545,0.9091,4,6,1,0.2855,1.0,1.0,1.0,1.0,0,0,3,3,-1
friend_abhinandan_,fullstack_developer_fresher,general,0.5875,0.7083,10,7,7,0.3215,1.0,1.0,1.0,1.0,0,0,3,3,-1
friend_abhinandan_,fullstack_developer_general,general,0.475,0.625,10,8,12,0.2594,0.88,1.0,0.6,1.0,0,0,3,4,-1
friend_abhinandan_,golang_backend_developer,general,0.7857,0.9286,9,3,1,0.2234,1.0,1.0,1.0,1.0,0,0,3,3,-1
friend_abhinandan_,google_ml_engineer,general,0.28,0.4,4,2,12,0.3441,0.8,0.5,1.0,1.0,0,1,3,3,-1
friend_abhinandan_,google_swe_early_career,general,0.43,0.6,3,2,4,0.2615,0.8,0.5,1.0,1.0,0,1,3,3,-1
